Dataset,LLM,Method,ECE,Brier,AUCPR,AUROC
Clinical Inference,Qwen-1.5B,P(True),0.615,0.502,0.876,0.523
Clinical Inference,Qwen-1.5B,SAPLMA-M,0.507,0.385,0.882,0.522
Clinical Inference,Qwen-1.5B,SAPLMA-UM,0.197,0.15,0.887,0.542
Clinical Inference,Qwen-1.5B,SAPLMA-F,0.12,0.126,0.864,0.465
Clinical Inference,Qwen-1.5B,P(IK),0.485,0.393,0.971,0.827
Clinical Inference,Qwen-1.5B,CCPS (Ours),0.168,0.124,0.97,0.821
Clinical Inference,Llama-3B,P(True),0.854,0.822,0.919,0.569
Clinical Inference,Llama-3B,SAPLMA-M,0.208,0.2,0.939,0.627
Clinical Inference,Llama-3B,SAPLMA-UM,0.174,0.178,0.937,0.637
Clinical Inference,Llama-3B,SAPLMA-F,0.157,0.159,0.952,0.686
Clinical Inference,Llama-3B,P(IK),0.075,0.101,0.952,0.679
Clinical Inference,Llama-3B,CCPS (Ours),0.154,0.107,0.976,0.826
Clinical Inference,Qwen-3B,P(True),0.253,0.154,0.926,0.482
Clinical Inference,Qwen-3B,SAPLMA-M,0.45,0.269,0.93,0.482
Clinical Inference,Qwen-3B,SAPLMA-UM,0.531,0.344,0.959,0.684
Clinical Inference,Qwen-3B,SAPLMA-F,0.332,0.174,0.969,0.641
Clinical Inference,Qwen-3B,P(IK),0.221,0.116,0.99,0.886
Clinical Inference,Qwen-3B,CCPS (Ours),0.246,0.116,0.991,0.899
